icd10_ecode,icd10_mechanism,mechanism_count,icd10_intent,icd10_description,icd9_ecode,icd9_ecode_numeric,icd9_intent,icd9_mechanism,icd9_display
Y93.K2,ACTIVITY,1,,"Activity, milking an animal",E019.1,19.1,,ACTIVITY,"E019.1 Activity, involving milking an animal"
T73.3XXA,OVEREXERTION,1,UNINTENTIONAL,"Exhaustion due to excessive exertion, initial encounter",E927.2,927.2,UNINTENTIONAL,OVEREXERTION,"E927.2 Other, Excessive physical exertion from prolonged activity (OVEREXERTION, UNINTENTIONAL)"
V92.25XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Drowning and submersion due to being washed overboard from canoe or kayak, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V43.91XA,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified car occupant injured in collision with sport utility vehicle in traffic accident, initial encounter",E812.9,812.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E812.9 Traffic, Collision with motor vehicle, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
T52.3X2A,POISONING,1,SELF_INFLICTED,"Toxic effect of glycols, intentional self-harm, initial encounter",E950.9,950.9,SELF_INFLICTED,POISONING,"E950.9 Self-Inflicted, Other and unspecified substances (POISONING, SELF_INFLICTED)"
V92.13XA,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to being thrown overboard by motion of other powered watercraft, initial encounter",E832.9,832.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E832.9 Water, Other accidental submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
V84.9XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified occupant of special agricultural vehicle injured in nontraffic accident, subsequent encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
Y38.7X2D,OTHER_SPECIFIED,1,ASSAULT,"Terrorism involving chemical weapons, civilian injured, subsequent encounter",E979.7,979.7,ASSAULT,OTHER_SPECIFIED,"E979.7 Terrorism involving chemical weapons (OTHER_SPECIFIED, ASSAULT)"
T17.598A,OTHER_SPECIFIED,1,UNINTENTIONAL,"Other foreign object in bronchus causing other injury, initial encounter",E915,915,UNINTENTIONAL,OTHER_SPECIFIED,"E915 Suffocation, Foreign body: accidental other orifice (OTHER_SPECIFIED, UNINTENTIONAL)"
Y92.014,LOCATION,1,,Private driveway to single-family (private) house as the place of occurrence of the external cause,E849.0,849,,LOCATION,E849.0 Place of occurrence: Home
T19.9XXA,OTHER_SPECIFIED,1,UNINTENTIONAL,"Foreign body in genitourinary tract, part unspecified, initial encounter",E915,915,UNINTENTIONAL,OTHER_SPECIFIED,"E915 Suffocation, Foreign body: accidental other orifice (OTHER_SPECIFIED, UNINTENTIONAL)"
V55.4XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle, initial encounter",E824.8,824.8,UNINTENTIONAL,TRANSPORT_OTHER,"E824.8 Nontraffic, Boarding/alighting, Other specified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W34.011D,OTHER_SPECIFIED,1,UNINTENTIONAL,"Accidental discharge of paintball gun, subsequent encounter",E922.5,922.5,UNINTENTIONAL,OTHER_SPECIFIED,"E922.5 Other, Paintball gun (OTHER_SPECIFIED, UNINTENTIONAL)"
V50.5XXA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, initial encounter",E814.0,814,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E814.0 Traffic, Collision with pedestrian, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
T14.91,UNSPECIFIED,1,SELF_INFLICTED,Suicide attempt,E958.9,958.9,SELF_INFLICTED,UNSPECIFIED,"E958.9 Self-Inflicted, Unspecified means (UNSPECIFIED, SELF_INFLICTED)"
V80.710D,TRANSPORT_OTHER,1,UNINTENTIONAL,"Animal-rider injured in collision with other animal being ridden, subsequent encounter",E827.2,827.2,UNINTENTIONAL,TRANSPORT_OTHER,"E827.2 Other MV, Animal-drawn vehicle, Rider of animal (TRANSPORT_OTHER, UNINTENTIONAL)"
V30.0XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter",E822.0,822,UNINTENTIONAL,TRANSPORT_OTHER,"E822.0 Nontraffic, Collision with moving object, Driver excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
W21.03XD,STRUCK_BY_AGAINST,1,UNINTENTIONAL,"Struck by baseball, subsequent encounter",E917.0,917,UNINTENTIONAL,STRUCK_BY_AGAINST,"E917.0 Other, Struck in sports, without subsequent fall (STRUCK_BY_AGAINST, UNINTENTIONAL)"
W55.81XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Bitten by other mammals, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
X50.3XXD,OVEREXERTION,1,,"Overexertion from repetitive movements, subsequent encounter",E927.3,927.3,UNINTENTIONAL,OVEREXERTION,"E927.3 Other, Cumulative trauma from repetitive motion (OVEREXERTION, UNINTENTIONAL)"
X50.3XXD,,,,,E927.4,927.4,UNINTENTIONAL,OVEREXERTION,"E927.4 Other, Cumulative trauma from repetitive impact (OVEREXERTION, UNINTENTIONAL)"
V20.4XXA,MOTOR_VEHICLE_MOTORCYCLIST,1,UNINTENTIONAL,"Motorcycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter",E814.2,814.2,UNINTENTIONAL,MOTOR_VEHICLE_MOTORCYCLIST,"E814.2 Traffic, Collision with pedestrian, Motorcyclist (MOTOR_VEHICLE_MOTORCYCLIST, UNINTENTIONAL)"
W18.11XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Fall from or off toilet without subsequent striking against object, sequela",E929.3,929.3,UNINTENTIONAL,OTHER_SPECIFIED,"E929.3 Late Effect, Accidental fall (OTHER_SPECIFIED, UNINTENTIONAL)"
V72.7XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person on outside of bus injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V25.3XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Person boarding or alighting a motorcycle injured in collision with railway train or railway vehicle, subsequent encounter",E824.2,824.2,UNINTENTIONAL,TRANSPORT_OTHER,"E824.2 Nontraffic, Boarding/alighting, Motorcyclist (TRANSPORT_OTHER, UNINTENTIONAL)"
T61.01XA,POISONING,1,UNINTENTIONAL,"Ciguatera fish poisoning, accidental (unintentional), initial encounter",E865.2,865.2,UNINTENTIONAL,POISONING,"E865.2 Accidental poisoning, Other fish (POISONING, UNINTENTIONAL)"
V00.188S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Other accident on other rolling-type pedestrian conveyance, sequela",E929.3,929.3,UNINTENTIONAL,OTHER_SPECIFIED,"E929.3 Late Effect, Accidental fall (OTHER_SPECIFIED, UNINTENTIONAL)"
X93.XXXS,OTHER_NEC,1,ASSAULT,"Assault by handgun discharge, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
V67.1XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Passenger in heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident, initial encounter",E823.1,823.1,UNINTENTIONAL,TRANSPORT_OTHER,"E823.1 Nontraffic, Collision with stationary object, Passenger excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
V52.3XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y92.218,LOCATION,1,,Other school as the place of occurrence of the external cause,E849.6,849.6,,LOCATION,E849.6 Place of occurrence: Public building
V82.4XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person injured while boarding or alighting from streetcar, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V37.5XXD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Driver of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",E815.0,815,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E815.0 Traffic, Other collision on a highway, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V94.810S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Civilian watercraft involved in water transport accident with military watercraft, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V73.9XXA,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of bus injured in collision with car, pick-up truck or van in traffic accident, initial encounter",E812.9,812.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E812.9 Traffic, Collision with motor vehicle, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
W16.711S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Jumping or diving from boat striking water surface causing drowning and submersion, sequela",E929.3,929.3,UNINTENTIONAL,OTHER_SPECIFIED,"E929.3 Late Effect, Accidental fall (OTHER_SPECIFIED, UNINTENTIONAL)"
W61.29XA,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Other contact with other psittacines, initial encounter",E906.8,906.8,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E906.8 Environmental, Other specified animal injury (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
T55.1X2A,POISONING,1,SELF_INFLICTED,"Toxic effect of detergents, intentional self-harm, initial encounter",E950.7,950.7,SELF_INFLICTED,POISONING,"E950.7 Self-Inflicted, Corrosives/caustics (POISONING, SELF_INFLICTED)"
T60.1X4S,OTHER_NEC,1,UNDETERMINED,"Toxic effect of halogenated insecticides, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
V05.90XD,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",E807.2,807.2,UNINTENTIONAL,PEDESTRIAN_OTHER,"E807.2 Train, Unspecified nature, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
T48.293S,OTHER_NEC,1,ASSAULT,"Poisoning by other drugs acting on muscles, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T48.295A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of other drugs acting on muscles, initial encounter",E945.3,945.3,OTHER,ADVERSE_EFFECTS_DRUGS,"E945.3 Adverse effects in therapeutic use, Other and unspecified drugs acting on muscles (ADVERSE_EFFECTS_DRUGS, OTHER)"
T43.8X5S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of other psychotropic drugs, sequela",E939.8,939.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E939.8 Adverse effects in therapeutic use, Other psychotropic agents (ADVERSE_EFFECTS_DRUGS, OTHER)"
X15.8XXA,FIRE_OBJECT_SUBSTANCE,1,UNINTENTIONAL,"Contact with other hot household appliances, initial encounter",E924.8,924.8,UNINTENTIONAL,FIRE_OBJECT_SUBSTANCE,"E924.8 Other, Other hot object (FIRE_OBJECT_SUBSTANCE, UNINTENTIONAL)"
V12.0XXD,PEDAL_CYCLIST_OTHER,1,UNINTENTIONAL,"Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",E822.6,822.6,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E822.6 Nontraffic, Collision with moving object, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
W53.11XA,BITES_STINGS,1,UNINTENTIONAL,"Bitten by rat, initial encounter",E906.1,906.1,UNINTENTIONAL,BITES_STINGS,"E906.1 Environmental, Rat bite (BITES_STINGS, UNINTENTIONAL)"
V90.13XA,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to other powered watercraft sinking, initial encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
V80.720A,TRANSPORT_OTHER,1,UNINTENTIONAL,"Animal-rider injured in collision with animal-drawn vehicle, initial encounter",E827.2,827.2,UNINTENTIONAL,TRANSPORT_OTHER,"E827.2 Other MV, Animal-drawn vehicle, Rider of animal (TRANSPORT_OTHER, UNINTENTIONAL)"
V50.1XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",E822.1,822.1,UNINTENTIONAL,TRANSPORT_OTHER,"E822.1 Nontraffic, Collision with moving object, Passenger excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
Y36.520A,OTHER_SPECIFIED,1,OTHER,"War operations involving indirect blast effect of nuclear weapon, military personnel, initial encounter",E996.1,996.1,OTHER,OTHER_SPECIFIED,"E996.1 War, indirect blast effect of nuclear weapon (OTHER_SPECIFIED, OTHER)"
X77.0XXA,FIRE_OBJECT_SUBSTANCE,1,SELF_INFLICTED,"Intentional self-harm by steam or hot vapors, initial encounter",E958.2,958.2,SELF_INFLICTED,FIRE_OBJECT_SUBSTANCE,"E958.2 Self-Inflicted, Scald (FIRE_OBJECT_SUBSTANCE, SELF_INFLICTED)"
W16.42XA,FALL,1,UNINTENTIONAL,"Fall into unspecified water causing other injury, initial encounter",E883.0,883,UNINTENTIONAL,FALL,"E883.0 Fall, Diving (FALL, UNINTENTIONAL)"
V69.88XD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents, subsequent encounter",E812.0,812,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.0 Traffic, Collision with motor vehicle, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V68.9XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
T50.Z13S,OTHER_NEC,1,ASSAULT,"Poisoning by immunoglobulin, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T50.Z15A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of immunoglobulin, initial encounter",E934.6,934.6,OTHER,ADVERSE_EFFECTS_DRUGS,"E934.6 Adverse effects in therapeutic use, Gamma globulin (ADVERSE_EFFECTS_DRUGS, OTHER)"
V92.12XD,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to being thrown overboard by motion of fishing boat, subsequent encounter",E832.9,832.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E832.9 Water, Other accidental submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
X00.3XXA,FIRE_FLAME,1,UNINTENTIONAL,"Fall from burning building or structure in uncontrolled fire, initial encounter",E890.8,890.8,UNINTENTIONAL,FIRE_FLAME,"E890.8 Fire, Other accident private dwelling (FIRE_FLAME, UNINTENTIONAL)"
V32.0XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",E822.0,822,UNINTENTIONAL,TRANSPORT_OTHER,"E822.0 Nontraffic, Collision with moving object, Driver excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
T38.2X3S,OTHER_NEC,1,ASSAULT,"Poisoning by antithyroid drugs, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T38.2X5A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of antithyroid drugs, initial encounter",E932.8,932.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E932.8 Adverse effects in therapeutic use, Antithyroid agents (ADVERSE_EFFECTS_DRUGS, OTHER)"
V36.6XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y63.3,ADVERSE_EFFECTS_MED,1,OTHER,Inadvertent exposure of patient to radiation during medical care,E873.3,873.3,OTHER,ADVERSE_EFFECTS_MED,"E873.3 Failure in dosage, Inadvertent exposure of patient to radiation during medical care (ADVERSE_EFFECTS_MED, OTHER)"
V81.9XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Occupant of railway train or railway vehicle injured in unspecified railway accident, initial encounter",E807.0,807,UNINTENTIONAL,TRANSPORT_OTHER,"E807.0 Train, Unspecified nature, Railway employee (TRANSPORT_OTHER, UNINTENTIONAL)"
V81.9XXA,,,,,E807.1,807.1,UNINTENTIONAL,TRANSPORT_OTHER,"E807.1 Train, Unspecified nature, Passenger on railway (TRANSPORT_OTHER, UNINTENTIONAL)"
V81.9XXA,,,,,E807.8,807.8,UNINTENTIONAL,TRANSPORT_OTHER,"E807.8 Train, Unspecified nature, Other specified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V81.9XXA,,,,,E807.9,807.9,UNINTENTIONAL,TRANSPORT_OTHER,"E807.9 Train, Unspecified nature, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
T59.2X2A,POISONING,1,SELF_INFLICTED,"Toxic effect of formaldehyde, intentional self-harm, initial encounter",E952.8,952.8,SELF_INFLICTED,POISONING,"E952.8 Self-Inflicted, Other specified gases (POISONING, SELF_INFLICTED)"
T60.2X2A,POISONING,1,SELF_INFLICTED,"Toxic effect of other insecticides, intentional self-harm, initial encounter",E950.6,950.6,SELF_INFLICTED,POISONING,"E950.6 Self-Inflicted, Agricultural preparations (POISONING, SELF_INFLICTED)"
T42.4X4S,OTHER_NEC,1,UNDETERMINED,"Poisoning by benzodiazepines, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
V93.59XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Explosion on board unspecified watercraft, subsequent encounter",E837.9,837.9,UNINTENTIONAL,TRANSPORT_OTHER,"E837.9 Water, Explosion fire burning, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V93.60XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Machinery accident on board merchant ship, subsequent encounter",E836.9,836.9,UNINTENTIONAL,TRANSPORT_OTHER,"E836.9 Water, Machinery accident, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
Y36.271A,OTHER_SPECIFIED,1,OTHER,"War operations involving fragments from weapons, civilian, initial encounter",E991.8,991.8,OTHER,OTHER_SPECIFIED,"E991.8 War, fragments from weapons (OTHER_SPECIFIED, OTHER)"
W53.21XA,BITES_STINGS,1,UNINTENTIONAL,"Bitten by squirrel, initial encounter",E906.3,906.3,UNINTENTIONAL,BITES_STINGS,"E906.3 Environmental, Other animals excluding arthropods (BITES_STINGS, UNINTENTIONAL)"
V91.03XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Burn due to other powered watercraft on fire, initial encounter",E831.9,831.9,UNINTENTIONAL,TRANSPORT_OTHER,"E831.9 Water, Other injury, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V15.2XXA,PEDAL_CYCLIST_OTHER,1,UNINTENTIONAL,"Unspecified pedal cyclist injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",E800.3,800.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E800.3 Train, Collision with rolling stock, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E801.3,801.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E801.3 Train, Collision with other object, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E802.3,802.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E802.3 Train, Derailing without antecedent collision, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E803.3,803.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E803.3 Train, Explosion fire burning, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E804.3,804.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E804.3 Train, Fall in from train, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E805.3,805.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E805.3 Train, Hit by rolling stock, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E806.3,806.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E806.3 Train, Other specified accident, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V15.2XXA,,,,,E807.3,807.3,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E807.3 Train, Unspecified nature, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
V14.3XXA,PEDAL_CYCLIST_OTHER,1,UNINTENTIONAL,"Person boarding or alighting a pedal cycle injured in collision with heavy transport vehicle or bus, initial encounter",E824.6,824.6,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E824.6 Nontraffic, Boarding/alighting, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
Y92.159,LOCATION,1,,Unspecified place in reform school as the place of occurrence of the external cause,E849.7,849.7,,LOCATION,E849.7 Place of occurrence: Residential institution
Y92.160,LOCATION,1,,Kitchen in school dormitory as the place of occurrence of the external cause,E849.7,849.7,,LOCATION,E849.7 Place of occurrence: Residential institution
T39.313S,OTHER_NEC,1,ASSAULT,"Poisoning by propionic acid derivatives, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T39.315A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of propionic acid derivatives, initial encounter",E935.7,935.7,OTHER,ADVERSE_EFFECTS_DRUGS,"E935.7 Adverse effects in therapeutic use, Other non-narcotic analgesics (ADVERSE_EFFECTS_DRUGS, OTHER)"
T47.93XS,OTHER_NEC,1,ASSAULT,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
Y92.828,FALL,2,SELF_INFLICTED,Other wilderness area as the place of occurrence of the external cause,E957.2,957.2,SELF_INFLICTED,FALL,E849.8 Place of occurrence: Other specified places
Y92.828,LOCATION,,,,E849.8,849.8,,LOCATION,"E957.2 Self-Inflicted, Fall from natural site (FALL, SELF_INFLICTED)"
